endTime,artistName,trackName,msPlayed
2019-11-03 08:46:00-05:00,Freddie Gibbs,Stay Down,580
2019-11-03 08:46:00-05:00,Madvillain,All Caps,760
2019-11-03 08:46:00-05:00,Isaiah Rashad,Cilvia Demo,720
2019-11-03 08:51:00-05:00,Twiddle,Syncopated Healing,278291
2019-11-03 08:55:00-05:00,Mt. Joy,Sheep,215180
2019-11-03 08:59:00-05:00,Coast Modern,Hollow Life,237880
2019-11-03 09:03:00-05:00,Twiddle,Lost in the Cold,273182
2019-11-03 09:08:00-05:00,The Vegabonds,Shaky Hands,314253
2019-11-03 09:12:00-05:00,Aer,Water on the Moon,231704
2019-11-03 09:15:00-05:00,Cbdb,New Eyes,173105
2019-11-03 09:20:00-05:00,SunSquabi,Just a Little,274042
2019-11-03 15:02:00-05:00,Rainbow Kitten Surprise,Cocaine Jesus,11605
2019-11-03 15:02:00-05:00,Twiddle,Syncopated Healing,853
2019-11-03 15:07:00-05:00,Lotus ,Sodium Vapor,323185
2019-11-03 15:22:00-05:00,Galactic,Church,330522
2019-11-03 15:25:00-05:00,Unified Highway,My Space,229497
2019-11-03 15:30:00-05:00,Spafford,Leave the Light On,253819
2019-11-03 15:34:00-05:00,St. Paul & The Broken Bones,Apollo,283879
2019-11-03 15:38:00-05:00,Vibe Street,Something from Outer Space,236252
2019-11-03 15:39:00-05:00,Coast Modern,The Way It Was,53525
2019-11-03 15:43:00-05:00,Coast Modern,Going Down,210453
2019-11-03 15:46:00-05:00,Coast Modern,Tiny Umbrella,207880
2019-11-03 15:50:00-05:00,Coast Modern,Guru,204066
2019-11-03 15:53:00-05:00,Coast Modern,Dive,208306
2019-11-03 15:56:00-05:00,Coast Modern,Pockets Full Of No,204026
2019-11-03 15:57:00-05:00,Coast Modern,Yemma,14311
2019-11-03 16:01:00-05:00,Coast Modern,Run It Up,234306
2019-11-03 16:04:00-05:00,Coast Modern,Wild Things,214666
2019-11-03 16:08:00-05:00,Coast Modern,Hollow Life,237880
2019-11-03 16:09:00-05:00,Coast Modern,Groovy,39666
2019-11-03 16:11:00-05:00,Coast Modern,Animals,682
2019-11-03 16:11:00-05:00,Coast Modern,Bugs,981
2019-11-03 16:11:00-05:00,Coast Modern,Pogs & Slammers,1023
2019-11-03 16:11:00-05:00,Coast Modern,The Way It Was,938
2019-11-03 16:11:00-05:00,Coast Modern,Frost,7338
2019-11-03 16:11:00-05:00,Coast Modern,Now I'm Cool,1045
2019-11-03 16:11:00-05:00,Coast Modern,Comb My Hair,133341
2019-11-03 16:11:00-05:00,Coast Modern,Honeybee,3349
2019-11-03 16:16:00-05:00,Glass Animals,Mama's Gun,266747
2019-11-03 16:19:00-05:00,Glass Animals,[Premade Sandwiches],15999
2019-11-03 16:19:00-05:00,Glass Animals,Cane Shuga,196570
2019-11-03 16:25:00-05:00,Glass Animals,The Other Side Of Paradise,320654
2019-11-03 16:28:00-05:00,Glass Animals,Take A Slice,229717
2019-11-03 16:33:00-05:00,Glass Animals,Poplar St,262539
2019-11-03 16:51:00-05:00,Glass Animals,Agnes,101200
2019-11-03 16:51:00-05:00,Argonaut & Wasp,Beast of Burden,6720
